timestamp,cpu_percent,ram_mb
1737384485,224.00,402.16
1737384486,100.00,816.89
1737384487,12.00,836.32
1737384488,0.00,836.32
1737384489,0.00,836.32
1737384490,0.00,836.32
1737384491,0.00,836.32
1737384492,0.00,836.32
1737384493,114.00,937.77
1737384494,248.00,941.27
1737384495,198.00,944.27
1737384496,105.00,944.52
1737384497,105.00,944.64
1737384498,107.00,944.89
1737384499,105.00,945.14
1737384500,114.00,954.91
1737384501,106.00,954.91
1737384502,105.00,954.91
1737384503,253.00,960.93
1737384504,299.00,965.43
1737384505,170.00,967.06
1737384506,105.00,967.18
1737384507,105.00,967.31
1737384508,106.00,967.43
1737384509,106.00,967.56
1737384510,116.00,968.71
1737384511,107.00,968.71
1737384512,105.00,968.71
1737384513,106.00,968.71
1737384514,105.00,968.71
1737384515,106.00,968.71
1737384516,105.00,968.71
1737384517,107.00,968.71
1737384518,105.00,968.71
1737384519,104.00,968.71
1737384520,107.00,968.71
1737384521,105.00,968.71
1737384522,104.00,968.83
1737384523,111.00,969.08
1737384524,300.00,976.08
1737384525,297.00,983.71
1737384526,150.00,985.58
1737384527,105.00,985.83
1737384528,105.00,985.96
1737384529,107.00,986.21
1737384530,104.00,986.33
1737384531,106.00,986.58
1737384532,107.00,986.83
1737384533,105.00,987.08
1737384534,104.00,987.21
1737384535,107.00,987.46
1737384536,105.00,987.71
1737384537,104.00,987.83
1737384538,107.00,988.08
1737384539,105.00,988.33
1737384540,105.00,988.46
1737384541,106.00,988.71
1737384542,105.00,988.96
1737384543,105.00,989.21
1737384544,107.00,989.46
1737384545,106.00,989.58
1737384546,104.00,989.83
1737384547,106.00,990.08
1737384548,106.00,990.33
1737384549,104.00,990.46
1737384550,107.00,990.71
1737384551,105.00,990.96
1737384552,105.00,991.08
1737384553,107.00,991.33
1737384554,105.00,991.58
1737384555,105.00,991.83
1737384556,106.00,992.08
1737384557,105.00,992.21
1737384558,105.00,992.46
1737384559,106.00,992.71
1737384560,106.00,992.83
1737384561,105.00,993.08
1737384562,106.00,993.33
1737384563,105.00,993.46
1737384564,105.00,993.71
1737384565,107.00,993.96
1737384566,105.00,994.21
1737384567,105.00,994.33
1737384568,106.00,994.58
1737384569,106.00,994.83
1737384570,104.00,994.96
1737384571,107.00,995.21
1737384572,105.00,995.33
1737384573,105.00,995.58
1737384574,106.00,995.83
1737384575,106.00,996.08
1737384576,104.00,996.21
1737384577,107.00,996.58
1737384578,105.00,996.71
1737384579,105.00,996.96
1737384580,107.00,997.21
1737384581,105.00,997.33
1737384582,104.00,997.58
1737384583,107.00,997.83
1737384584,105.00,997.96
1737384585,105.00,998.21
1737384586,107.00,998.46
1737384587,104.00,998.58
1737384588,106.00,998.83
1737384589,106.00,999.08
1737384590,105.00,999.21
1737384591,105.00,999.46
1737384592,106.00,999.71
1737384593,105.00,999.96
1737384594,105.00,1000.08
1737384595,107.00,1000.33
1737384596,105.00,1000.58
1737384597,105.00,1000.71
1737384598,107.00,1000.96
