timestamp,cpu_percent,ram_mb
1737382912,225.00,405.27
1737382913,100.00,806.56
1737382914,10.00,818.97
1737382915,0.00,818.97
1737382916,72.00,908.90
1737382917,347.00,930.22
1737382918,359.00,939.84
1737382919,368.00,950.34
1737382920,328.00,962.98
1737382921,361.00,968.86
1737382922,367.00,978.61
1737382923,327.00,995.60
1737382924,344.00,1065.52
1737382925,364.00,1056.68
1737382926,363.00,1060.14
1737382927,335.00,1060.14
1737382928,361.00,1060.14
1737382929,355.00,1063.82
1737382930,339.00,1053.05
1737382931,344.00,1089.38
1737382932,381.00,1053.03
1737382933,367.00,1053.03
1737382934,358.00,1053.03
1737382935,322.00,1053.03
1737382936,350.00,1053.11
1737382937,313.00,1054.62
1737382938,361.00,1081.60
1737382939,360.00,1074.70
1737382940,370.00,1047.06
1737382941,363.00,1047.06
1737382942,348.00,1047.17
1737382943,330.00,1047.17
1737382944,352.00,1047.17
1737382945,353.00,1047.12
1737382946,352.00,1047.13
1737382947,333.00,1072.11
1737382948,356.00,1103.36
1737382949,356.00,1075.77
1737382950,358.00,1069.67
1737382951,333.00,1069.67
1737382952,342.00,1069.70
1737382953,333.00,1070.04
1737382954,359.00,1073.57
1737382955,378.00,1065.50
1737382956,362.00,1065.50
1737382957,350.00,1065.50
1737382958,320.00,1065.50
1737382959,363.00,1065.50
1737382960,346.00,1065.50
1737382961,333.00,1091.51
1737382962,364.00,1107.89
1737382963,369.00,1063.52
1737382964,344.00,1067.51
1737382965,366.00,1067.51
1737382966,316.00,1067.63
1737382967,346.00,1067.70
1737382968,359.00,1082.23
1737382969,357.00,1066.25
1737382970,357.00,1079.22
1737382971,363.00,1066.35
1737382972,358.00,1066.35
1737382973,353.00,1066.26
1737382974,284.00,1066.27
1737382975,362.00,1065.21
1737382976,363.00,1085.57
1737382977,373.00,1066.23
1737382978,357.00,1066.23
1737382979,357.00,1066.23
1737382980,353.00,1066.23
1737382981,331.00,1072.24
1737382982,367.00,1064.25
1737382983,367.00,1066.26
1737382984,368.00,1072.14
1737382985,318.00,1072.14
1737382986,363.00,1072.14
1737382987,361.00,1072.14
1737382988,333.00,1064.26
1737382989,369.00,1078.02
1737382990,370.00,1041.61
1737382991,312.00,1045.07
1737382992,359.00,1048.57
1737382993,347.00,1085.43
1737382994,359.00,1045.54
1737382995,362.00,1073.53
1737382996,350.00,1073.53
1737382997,361.00,1073.53
1737382998,348.00,1073.53
1737382999,328.00,1073.53
1737383000,357.00,1073.53
